order_date,customer,productAgrupationID,productID,territory,product_cases_ordered
2020-01-23T00:00:00.000Z,247474,1431.0,10159,262,28.76
2020-01-24T00:00:00.000Z,239611,1626.0,9968,263,28.76
2020-01-31T00:00:00.000Z,382014,1202.0,9864,279,28.76
2020-01-31T00:00:00.000Z,382014,1202.0,9863,279,28.76
2020-01-21T00:00:00.000Z,225565,1202.0,9864,263,28.76
2020-01-31T00:00:00.000Z,382014,1202.0,9865,279,28.76
2020-01-31T00:00:00.000Z,382014,1202.0,9928,279,28.76
2020-01-31T00:00:00.000Z,377848,1418.0,10435,279,28.76
2020-01-31T00:00:00.000Z,235365,1194.0,10343,263,28.76
2020-01-31T00:00:00.000Z,235365,1194.0,10344,263,28.76
2020-01-31T00:00:00.000Z,235365,1066.0,3396,263,28.76
2020-01-31T00:00:00.000Z,235365,1066.0,3397,263,28.76
2020-01-31T00:00:00.000Z,235365,1194.0,10342,263,28.76
2020-01-23T00:00:00.000Z,191307,1293.0,1377,316,28.76
2020-01-23T00:00:00.000Z,191307,1259.0,1380,316,28.76
2020-01-23T00:00:00.000Z,191307,1319.0,3007,316,28.76
2020-01-31T00:00:00.000Z,244274,1337.0,1157,263,28.76
2020-01-31T00:00:00.000Z,244274,1226.0,10245,263,28.76
2020-01-31T00:00:00.000Z,247474,1431.0,10159,262,28.76
2020-01-22T00:00:00.000Z,189459,1197.0,9985,316,28.76
2020-01-31T00:00:00.000Z,10250750,1328.0,1939,263,28.76
2020-01-31T00:00:00.000Z,10250750,1140.0,10211,263,28.76
2020-01-31T00:00:00.000Z,10250750,1398.0,4183,263,28.76
2020-01-23T00:00:00.000Z,231089,1431.0,3080,263,28.76
2020-01-23T00:00:00.000Z,231089,1194.0,10343,263,28.76
2020-01-31T00:00:00.000Z,250171,1431.0,10159,262,28.76
2020-01-23T00:00:00.000Z,231089,1194.0,10342,263,28.76
2020-01-23T00:00:00.000Z,231089,1066.0,3396,263,28.76
2020-01-31T00:00:00.000Z,228455,1328.0,3026,263,28.76
2020-01-21T00:00:00.000Z,488961,1202.0,9865,252,28.76
2020-01-21T00:00:00.000Z,488961,1202.0,9866,252,28.76
2020-01-21T00:00:00.000Z,488961,1202.0,9863,252,28.76
2020-01-21T00:00:00.000Z,488961,1202.0,9864,252,28.76
2020-01-23T00:00:00.000Z,98200,1389.0,5554,301,28.76
